prosecution_normalization,eff%,total eff%,total carbon,num rounds
0,0.7801186151304746,0.8375032231546687,3787.4666175456623,37.303333333333335
2,0.7780181468148991,0.8421895039788073,3690.056444027817,35.946666666666665
4,0.7792622354546624,0.8402807793074463,3767.0052635400616,36.54
6,0.7805373407260382,0.839016942928867,3835.8306624743404,37.096666666666664
8,0.780760978067895,0.8407089431096818,3851.6978105289922,36.75
10,0.7823397937262336,0.8374409699318888,3999.535980025079,37.76
12,0.7843274801227218,0.83673533483189,4150.560889512743,38.24666666666667
14,0.7856911583678219,0.8397186506721771,4321.252788096876,37.84
16,0.7925736072710485,0.8378627641552145,5021.439495720669,39.61
18,0.8121733752301034,0.833577928738129,7261.62610344406,44.93666666666667
