innovation_bump,eff%,total eff%,total carbon,num rounds
3e-06,0.7262756331949144,0.7262756331949144,4525.632731514166,50.0
6e-06,0.7507712027743105,0.752099169721723,4508.532339896213,49.72666666666667
9e-06,0.7684040733505302,0.7859196723500745,4279.116195548013,46.29
1.2e-05,0.7743036034766025,0.8170090170964119,3889.685220512947,40.78333333333333
1.5e-05,0.7777154466607917,0.8380298722316323,3588.576042391787,36.843333333333334
1.8e-05,0.7782114662283965,0.8569670572769543,3261.2053458865876,32.68333333333333
2.1000000000000002e-05,0.7769666630901308,0.8739526996835106,2929.388042161991,28.673333333333332
2.4e-05,0.7775777907703287,0.8856183522244603,2705.995219545425,26.063333333333333
2.7e-05,0.7770776418817171,0.8958824100361689,2496.610426660406,23.75
3e-05,0.7787224591748162,0.9012483815601329,2403.0394063215786,22.756666666666668
